hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,,ETS,ITS,matK,ndhF,psbA-trnh,rpl16,rpl32-trnl,rps16-trnq,trnl-trnf,,Reference,,campo_rupestre,non_campo_rupestre
Myrceugenia_colchaguensis,x,Myrceugenia colchaguensis (Phil.) L.E. Navas,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660847,JN660897,JN660996,,,JN660946,JN661045,JN661095,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_correifolia,x,Myrceugenia correifolia (Hook. & Arn.) O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660851,JN660901,JN661000,,,JN660950,JN661049,JN661099,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_cucullata,x,Myrceugenia cucullata D. Legrand ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660848,JN660898,JN660997,,,JN660947,JN661046,JN661096,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_euosma,x,Myrceugenia euosma (O. Berg) D. Legrand ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660849,JN660899,JN660998,,,JN660948,JN661047,JN661097,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_exsucca,x,Myrceugenia exsucca (DC.) O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660850,JN660900,JN660999,,,JN660949,JN661048,JN661098,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_franciscensis,x,Myrceugenia franciscensis (O.Berg) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660852,JN660902,JN661001,,,JN660951,JN661050,JN661100,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_gertii,x,Myrceugenia gertii Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660854,JN660904,JN661003,,,JN660953,JN661052,JN661102,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_glaucescens,x,Myrceugenia glaucescens (Cambess.) D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660855,JN660905,JN661004,,,JN660954,JN661053,JN661103,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_kleinii,x,Myrceugenia kleinii D. Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660856,JN660906,JN661005,,,JN660955,JN661054,JN661104,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_lanceolata,x,Myrceugenia lanceolata (Juss. Ex J. St.-Hil.) Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660858,JN660908,JN661007,,AM489849 ,JN660957,JN661056,JN661106,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_leptospermoides,x,Myrceugenia leptospermoides (DC.) Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660859,JN660909,JN661008,,AM489850,JN660958,JN661057,JN661107,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_miersiana,x,Myrceugenia miersiana (Gardner) D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660862,JN660912,JN661011,,,JN660961,JN661060,JN661110,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_myrcioides,x,Myrceugenia myrcioides (Cambess.) O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660865,JN660915,JN661014,KU898338,AM489853,JN660964,JN661063,JN661113,KU898444,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_myrtoides,x,Myrceugenia myrtoides O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660919,JN660869,JN661018,,,JN660968,JN661067,JN661117,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_obtusa,x,Myrceugenia obtusa (DC.) O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660866,JN660916,JN661015,,,JN660965,JN661064,JN661114,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_ovalifolia,x,Myrceugenia ovalifolia (O. Berg) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660867,JN660917,JN661016,,,JN660966,JN661065,JN661115,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_ovata,x,Myrceugenia ovata (Hook. & Arn.) O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489935,AM234096,JN66102,KU898334,AM489852,JN660971,JN661070,JN661120,KU898442,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_oxysepala,x,Myrceugenia oxysepala (Burret) D. Lagrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660873,JN660923,JN661022,,,JN660972,JN661071,JN661121,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_parvifolia,x,Myrceugenia parvifolia (DC.) Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660924,JN660874,JN661023,,,JN660973,JN661072,JN661122,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_pilotantha,x,Myrceugenia pilotantha (Kiaersk.) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660875,JN660925,JN661024,,,JN660974,JN661073,JN661123,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_pinifolia,x,Myrceugenia pinifolia (Phil.) Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660877,JN660927,JN661026,,,JN660976,JN661075,JN661125,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_planipes,x,Myrceugenia planipes (Hook. & Arn.) O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660878,JN660928,JN661027,MF954486,MF954390,JN660977,JN661076,JN661126,KU898443,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_reitzii,x,Myrceugenia reitzii D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660937,JN660887,JN661036,,,JN660986,JN661085,JN661135,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_rufa,x,Myrceugenia rufa (Colla) Skottsb.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660879,JN660929,JN661028,,,JN660978,JN661077,JN661127,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_rufescens,x,Myrceugenia rufescens (DC.) D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660880,JN660930,JN661029,,,JN660979,JN661078,JN661128,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_schulzei,x,Myrceugenia schulzii Johow,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660888,JN660938,,,,JN660987,JN661086,JN661136,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_seriatoramosa,x,Myrceugenia seriatoramosa (Kiaersk.) D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660882,JN660932,JN661031,,,JN660981,JN661080,JN661130,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_smithii,x,Myrceugenia smithii Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660881,JN660931,JN661030,,,JN660980,JN661079,JN661129,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrcia_abbotiana,Myrcia_abbotiana,Myrcia abbotiana (Urb.) Alain,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898328,,KU898386,KU898436,MF954357,MF954255,KU898544,KU898491,,Amorim et al. in press,,0,1
Myrcia_aff_lucida,Myrcia_aff_lucida,Myrcia aff. lucida McVaugh,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,KU898380,KU898429,,,,KU898484,,Amorim et al. in press,,0,1
Myrcia_aff_servata,Myrcia_aff_servata,Myrcia aff. servata McVaugh,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898319,,KU898377,KU898426,,,KU898536,KU898481,,Amorim et al. in press,,0,1
Myrcia_affamazonica,Myrcia_aff_amazonica,Myrcia aff. amazonica DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722417,,KP722495,KP722325,,,KP722272,KP722375,,Amorim et al. in press,,0,1
Myrcia_affhirtiflora,Myrcia_aff_hirtiflora,Myrcia aff. hirtiflora DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722409,,KP722487,KP722317,,,KP722264,KP722367,,Amorim et al. in press,,0,1
Myrcia_affplusiantha,Myrcia_aff_plusiantha,Myrcia aff. plusiantha Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722395,,,KP722303,MK174999*,MK182473*,KP722250,KP722353,,Amorim et al. in press,,0,1
Myrcia_affracemosa,Myrcia_aff_racemosa,Myrcia aff. racemosa (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722380,,KP722457,KP722287,,,KP722234,KP722336,,Amorim et al. in press,,0,1
Myrcia_affsubobliqua,Myrcia_aff_subobliqua,Myrcia aff. subobliqua (Benth.) Nied.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722396,,KP722474,KP722304,,,KP722251,KP722354,,Amorim et al. in press,,0,1
Myrcia_afftruncata,Myrcia_aff_truncata,Myrcia aff. truncata Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722412,,KP722490,KP722320,,,KP722267,KP722370,,Amorim et al. in press,,0,1
Myrcia_amazonica,Myrcia_amazonica,Myrcia amazonica DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091263,JN091212,JN091304,KP722437,JN091403,,,KP722213,JN091337,,Amorim et al. in press,,1,1
Myrcia_anceps,Myrcia_anceps,Myrcia anceps (Spreng.) O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091268,JN091217,,,JN091408,MK175004*,MK182478*,MK202485*,JN091342,,Amorim et al. in press,,0,1
Myrcia_antonia,Myrcia_antonia,Myrcia antonia (O.Berg) Mazine,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898301,,KU898358,KU898405,,,KP722277,KU898460,,Amorim et al. in press,,0,1
Myrcia_ascendens,Myrcia_ascendens,Myrcia ascendens M.F.Santos,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898300,,KU898357,KU898404,,,KU898515,KU898459,,Amorim et al. in press,,1,0
Myrcia_bicarinata,Myrcia_bicarinata,Myrcia bicarinata (O.Berg) D.Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898313,,KU898370,KU898418,,,KU898528,KU898473,,Amorim et al. in press,,0,1
Myrcia_bicolor,Myrcia_bicolor,Myrcia bicolor Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898331,,KU898389,KU898439,,,KU898546,KU898494,,Amorim et al. in press,,0,1
Myrcia_blanchetiana,Myrcia_blanchetiana,Myrcia blanchetiana (O.Berg) Mattos,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898321,,KU898379,KU898428,,,KU898538,KU898483,,Amorim et al. in press,,1,0
Myrcia_bracteata,Myrcia_bracteata,Myrcia bracteata (Rich.) DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091269,JN091218,,,JN091409,,,,JN091344,,Amorim et al. in press,,0,1
Myrcia_calyptranthoides,Myrcia_calyptranthoides,Myrcia calyptranthoides (O.Berg) Mattos,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898310,,KU898367,KU898415,,,KU898470,KU898525,,Amorim et al. in press,,1,1
Myrcia_clavija,Myrcia_clavija,Myrcia clavija Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091271,JN091220,JN091307,KP722442,JN091411,,,KP722217,KP722332,,Amorim et al. in press,,0,1
Myrcia_costeira,Myrcia_costeira,Myrcia costeira M.F.Santos,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489945,AM234121,,KU898336,AM489862,,,KU898499,JN091343,,Amorim et al. in press,,0,1
Myrcia_coumete,Myrcia_coumete,Myrcia coumete (Aubl.) DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489947,AM234123,,,AM489864,MK175012*,MK182485*,JN091346,,,Amorim et al. in press,,0,1
Myrcia_cuprea,Myrcia_cuprea,Myrcia cuprea (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722394,,KP722472,KP722302,,,KP722248,KP722352,,Amorim et al. in press,,0,1
Myrcia_decorticans,Myrcia_decorticans,Myrcia decorticans DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722383,JN091308,KP722460,KP722290,,,KP722237,KP722339,,Amorim et al. in press,,0,1
Myrcia_densa,Myrcia_densa,Myrcia densa (DC.) Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898294,,KU898351,KU898398,,,KU898509,KU898453,,Amorim et al. in press,,1,1
Myrcia_elevata,Myrcia_elevata,Myrcia elevata M.F.Santos,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,,KU898413,,,KU898468,KU898523,,Amorim et al. in press,,0,1
Myrcia_eriopus,Myrcia_eriopus,Myrcia eriopus DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091273,JN091222,,,JN091413,MK175015*,,MK202493*,JN091348,,Amorim et al. in press,,1,1
Myrcia_eumecephylla,Myrcia_eumecephylla,Myrcia eumecephylla (O.Berg) Nied.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091274,JN091223,,KP722446,JN091414,,,KP722223,JN091349,,Amorim et al. in press,,0,1
Myrcia_eximia,Myrcia_eximia,Myrcia eximia DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898315,,KU898373,KU898422,,,KU898532.,KU898477,,Amorim et al. in press,,1,1
Myrcia_ferruginosa,Myrcia_ferruginosa,Myrcia ferruginosa Mazine,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898296,,KU898353,KU898400,,,KU898511.,KU898455,,Amorim et al. in press,,0,1
Myrcia_folli,Myrcia_folli,Myrcia follii G.M.Barroso & Peixoto,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722384,,KP722461,KP722291,MK175020*,MK182490*,KP722238,KP722340,,Amorim et al. in press,,0,1
Myrcia_glazioviana,Myrcia_glazioviana,Myrcia neospruceana E. Lucas & Sobral ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898324,,KU898383,KU898432,,,KU898541,KU898487,,Amorim et al. in press,,0,1
Myrcia_grandis,Myrcia_grandis,Myrcia grandis McVaugh,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722385,,KP722462,KP722292,,,KP698772,KP722341a,,Amorim et al. in press,,0,1
Myrcia_guianensis,Myrcia_guianensis,Myrcia guianensis (Aubl.) DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091276,JN091225,,,JN091416,,,,JN091351,,Amorim et al. in press,,1,1
Myrcia_hatschbachii,Myrcia_hatschbachii,Myrcia hatschbachii D.Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898304,,KU898361,KU898408,,,KU898518.,KU898463,,Amorim et al. in press,,0,1
Myrcia_hexasticha,Myrcia_hexasticha,Myrcia hexasticha Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091278,JN091227,JN091309,KP722438,JN091418,,,KP722214,JN091354,,Amorim et al. in press,,0,1
Myrcia_inaequiloba,Myrcia_inaequiloba,Myrcia inaequiloba (DC.) Lemée,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091279,JN091228,JN091310,KP722428,JN091419,,,KP722204,JN091355,,Amorim et al. in press,,0,1
Myrcia_isaiana,Myrcia_isaiana,Myrcia isaiana G.M.Barroso & Peixoto,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091280,JN091229,JN091311,KP722423,JN091420,,,KP722249,JN091356,,Amorim et al. in press,,0,1
Myrcia_laruotteana,Myrcia_laruotteana,"Myrcia laruotteana Cambess.,",(BAMM analysis not performed),(BAMM analysis not performed),,,AM489939,AM234115,AM490002,,AM489856,,,KU171297,JN091357,,Amorim et al. in press,,1,1
Myrcia_laxiflora,Myrcia_laxiflora,Myrcia laxiflora Cambess.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722403,,KP722481,KP722311,,,KP722257,,,Amorim et al. in press,,0,1
Myrcia_lenheirensis,Myrcia_lenheirensis,Myrcia lenheirensis Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091281,JN091230,JN091312,KU898342,JN091421,,,KU898503,JN091358,,Amorim et al. in press,,1,1
Myrcia_marianae,Myrcia_marianae,Myrcia marianae Staggemeier & Lucas,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722381,,KP722458,KP722288,,,KP722235,KP722337,,Amorim et al. in press,,0,1
Myrcia_maricaensis,Myrcia_maricaensis,Myrcia maricaensis Alain,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898330,,KU898388,KU898438,,,KU898545,KU898493,,Amorim et al. in press,,0,1
Myrcia_maximiliana,Myrcia_maximiliana,Myrcia maximiliana O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898318,,KU898376,KU898425,,,KU898535,KU898480,,Amorim et al. in press,,0,1
Myrcia_megaphylla,Myrcia_megaphylla,Myrcia megaphylla M.F.Santos & Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898317,,KU898375,KU898424,,,KU898534,KU898479,,Amorim et al. in press,,1,0
Myrcia_micropetala,Myrcia_micropetala,Myrcia micropetala (Mart.) Nied.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091282,JN091231,,,JN091422,,,,,,Amorim et al. in press,,0,1
Myrcia_microphylla,Myrcia_microphylla,"Myrcia microphylla O.Berg,",(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898325,,KU898384,KU898433,,,KU898542,KU898488,,Amorim et al. in press,,0,1
Myrcia_minutiflora,Myrcia_minutiflora,Myrcia minutiflora Sagot,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722399,,KP722477,KP722307,,,KP722254,KP722357,,Amorim et al. in press,,0,1
Myrcia_mucugensis,Myrcia_mucugensis,Myrcia mucugensis Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898299,,KU898356,KU898403,,,KU898458,KU898514,,Amorim et al. in press,,1,0
Myrcia_multiflora,Myrcia_multiflora,Myrcia multiflora (Lam.) DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722379,AM490003,KP722456,KP722286,,,KP722233,KP722335,,Amorim et al. in press,,1,1
Myrcia_multipunctata,Myrcia_multipunctata,Myrcia multipunctata Mazine,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898311,,KU898368,KU898416,,,KU898526,KU898471,,Amorim et al. in press,,1,0
Myrcia_mutabilis,Myrcia_mutabilis,Myrcia mutabilis (O.Berg) N.Silveira,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091284,JN091233,JN091313,KP722435,JN091424,,,KP722241,KP722344,,Amorim et al. in press,,1,1
Myrcia_nitida,Myrcia_nitida,Myrcia nitida Cambess.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898306,,KU898363,KU898410,,,KU898520,KU898465,,Amorim et al. in press,,1,0
Myrcia_nivea,Myrcia_nivea,Myrcia nivea Cambess.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880954*,,,MK157113*,MK175031*,MK182500*,MK202503*,,,Amorim et al. in press,,1,0
Myrcia_oblongata,Myrcia_oblongata,Myrcia oblongata DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898295,,KU898352,KU898399,,,KU898510,KU898454,,Amorim et al. in press,,0,1
Myrcia_paracatuensis,Myrcia_paracatuensis,Myrcia paracatuensis Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489942,AM234118,,KP722421,AM489859,,,KP722230,KP722328a,,Amorim et al. in press,,1,0
Myrcia_pinifolia,Myrcia_pinifolia,Myrcia pinifolia Cambess.,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,KU898372,KU898421,,,KU898531,KU898476,,Amorim et al. in press,,1,0
Myrcia_platyclada,Myrcia_platyclada,Myrcia platyclada DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898327,,KU898385,KU898435,,,,KU898490,,Amorim et al. in press,,0,1
Myrcia_polyantha,Myrcia_polyantha,Myrcia polyantha DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722400,,KP722478,KP722308a,,,KP722255,KP722358,,Amorim et al. in press,,0,1
Myrcia_pseudomarlierea,Myrcia_pseudomarlierea,Myrcia pseudomarlierea Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722404,,KP722482,KP722312,MK175034*,MK182503*,KP722258,KP722362,,Amorim et al. in press,,0,1
Myrcia_pubipetala,Myrcia_pubipetala,Myrcia pubipetala Miq.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489938,AM234114,AM490001,KP722426,AM489855,MF954361,MF954259,KP722273,JN091364,,Amorim et al. in press,,0,1
Myrcia_pulchra,Myrcia_pulchra,Myrcia pulchra (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091286,JN091235,JN091314,KU898341,JN091426,,,KU898501,JN091365,,Amorim et al. in press,,0,1
Myrcia_racemosa,Myrcia_racemosa,Myrcia racemosa (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489944,AM234120,AM490005,KP722424,AM489861,,,KP722259,JN091366,,Amorim et al. in press,,0,1
Myrcia_reticulosa,Myrcia_reticulosa,Myrcia reticulosa Miq.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091287,JN091236,,,JN091427,MK175039*,MK182508*,,JN091367,,Amorim et al. in press,,1,0
Myrcia_riodocensis,Myrcia_riodocensis,Myrcia riodocensis G.M.Barroso & Peixoto,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,KP722466,KP722296,,,KP722243,KP722346,,Amorim et al. in press,,0,1
Myrcia_robusta,Myrcia_robusta,Myrcia robusta Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898289,,KU898346,KU898393,,,,KU898448,,Amorim et al. in press,,0,1
Myrcia_rorida,Myrcia_rorida,Myrcia rorida (O.Berg) Liaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091289,JN091238,,,JN091429,,,,JN091368,,Amorim et al. in press,,1,1
Myrcia_rotundata,Myrcia_rotundata,Myrcia rotundata (Amshoff) McVaugh,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,,KU898419,,,KU898529,KU898474,,Amorim et al. in press,,0,1
Myrcia_rubella,Myrcia_rubella,Myrcia myrtillifolia DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880953*,,,MK157112*,MK175041*,MK182497*,MK202502*,,,Amorim et al. in press,,1,0
Myrcia_rufipes,Myrcia_rufipes,Myrcia rufipes DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091290,JN091239,,,JN091430,,,,JN091369,,Amorim et al. in press,,1,1
Myrcia_rupestris,Myrcia_rupestris,Myrcia rupestris M.F.Santos,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898293,,KU898350,KU898397,,,KU898508,KU898452,,Amorim et al. in press,,1,0
Myrcia_rupta,Myrcia_rupta,Myrcia rupta M.L.Kawas. & B.Holst,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954055,,MF954487,MF954391,MF954358,MF954256,MF954113,,,Amorim et al. in press,,0,1
Myrcia_saxatilis,Myrcia_saxatilis,Myrcia saxatilis (Amshoff) McVaugh,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091291,AM234119,JN091315,KP722427,AM489860,,,KP722203,JN091370,,Amorim et al. in press,,0,1
Myrcia_selloi,Myrcia_selloi,Myrcia selloi (Spreng.) N.Silveira,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091291,JN091240,JN091315,KP722436,JN091431,MF954363,MF954261,KP722212,JN091371,,Amorim et al. in press,,0,1
Myrcia_sessilissima,Myrcia_sessilissima,Myrcia sessilissima M.F.Santos,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898316,,KU898374,KU898423,,,KU898533,KU898478,,Amorim et al. in press,,1,0
Myrcia_sp1_T,Myrcia_sp1_T,Myrcia sp1 [T],(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954056,,MF954488,MF954392,MF954362,MF954260,MF954114,MF954174,,Amorim et al. in press,,0,1
Myrcia_sp11,Myrcia_sp11,Myrcia sp11,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722398,,KP722476,KP722306,,,KP722253,KP722356,,Amorim et al. in press,,0,1
Myrcia_sp12,Myrcia_sp12,Myrcia sp12,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722393,,KP722471,KP722301,,,KP722247,KP722351,,Amorim et al. in press,,0,1
Myrcia_sp13,Myrcia_sp13,Myrcia sp13,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722407,,KP722485,KP722315,,,KP722262,KP722365a,,Amorim et al. in press,,0,1
Myrcia_sp2,Myrcia_sp2,Myrcia sp2,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722382,,KP722459,KP722289a,,,KP722236,KP722338,,Amorim et al. in press,,0,1
Myrcia_sp2_T,Myrcia_sp2_T,Myrcia sp2 [T],(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954057,,MF954489,MF954393,MF954364,MF954262,,,,Amorim et al. in press,,1,0
Myrcia_sp3,Myrcia_sp3,Myrcia sp3,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722410,,KP722488,KP722318,,,KP722265,KP722368,,Amorim et al. in press,,0,1
Myrcia_sp4,Myrcia_sp4,Myrcia sp4,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722390,,KP722468,KP722298,,,KP722244,KP722348,,Amorim et al. in press,,0,1
Myrcia_sp5,Myrcia_sp5,Myrcia sp5,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722414,,KP722492,KP722322,,,KP722269,KP722372,,Amorim et al. in press,,0,1
Myrcia_sp6,Myrcia_sp6,Myrcia sp6,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722405,,KP722483,KP722313,,,KP722260,KP722363,,Amorim et al. in press,,0,1
Myrcia_sp7,Myrcia_sp7,Myrcia sp7,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722413,,KP722491,KP722321,,,KP722268,KP722371,,Amorim et al. in press,,0,1
Myrcia_sp8,Myrcia_sp8,Myrcia sp8,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722401,,KP722479,KP722309,,,KP722256,KP722359,,Amorim et al. in press,,0,1
Myrcia_spatulifolia,Myrcia_spatulifolia,Myrcia spathulifolia Proença,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954058,,MF954490,MF954394,MF954365,MF954263,MF954115,,,Amorim et al. in press,,0,1
Myrcia_splendens,Myrcia_splendens,Myrcia splendens (Sw.) DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489946,AM234122,,KP722425,AM489863,,,KP722274,JN091374,,Amorim et al. in press,,1,1
Myrcia_stricta,Myrcia_stricta,Myrcia stricta (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898314,,KU898371,KU898420,,,KU898475,KU898530,,Amorim et al. in press,,1,0
Myrcia_subavenia,Myrcia_subavenia,Myrcia subavenia (O.Berg) N.Silveira,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898291,,KU898348,KU898395,,,KU898506,KU898450,,Amorim et al. in press,,1,0
Myrcia_subcordata,Myrcia_subcordata,Myrcia subcordata DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898302,,KU898359,KU898406,MF954367,MF954265,KU898516,KU898461,,Amorim et al. in press,,1,1
Myrcia_subterminalis,Myrcia_subterminalis,Myrcia subterminalis M.F.Santos,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898307,,KU898364,KU898411,,,KU898521,KU898466,,Amorim et al. in press,,0,1
